56076.783075679	Load R1	0	0	0
56076.784509815	Load R11	0	0	0
56076.78571417	Load R15	0	0	0
56076.787367278	Load R16	0	0	0
56076.788914395	Load R17	0	0	0
56076.790627551	Load R18	0	0	0
56076.792022048	Load I2	0	0	0
56076.793276712	Load C1	0	0	0
56076.794493744	Load C12	0	0	0
56076.796503229	Load C13	0	0	0
56076.79795573	Load C14	0	0	0
56076.799540562	Load C17	0	0	0
56076.800784407	Load C18	0	0	0
56076.802417764	Load C19	0	0	0
56076.804295029	Load C20	0	0	0
56076.80668992	PV_Load R1	0	0	0
56076.84606926	PV_Load R11	0	0	0
56076.849370265	PV_Load R15	0	0	0
56076.852560296	PV_Load R16	0	0	0
56076.85583586	PV_Load R17	0	0	0
56076.858580122	PV_Load R18	0	0	0
56076.861222413	PV_Load I2	0	0	0
56076.864019382	PV_Load C1	0	0	0
56076.866234054	PV_Load C12	0	0	0
56076.868214577	PV_Load C13	0	0	0
56076.870506123	PV_Load C14	0	0	0
56076.872497297	PV_Load C17	0	0	0
56076.874517175	PV_Load C18	0	0	0
56076.876564536	PV_Load C19	0	0	0
56076.879056653	PV_Load C20	0	0	0
56077.981982626	Load R11	14.25	4.683748	0.9872651709132355
56078.024917275	Load I2	85.0	52.678269	0
56078.034141555	Load C12	18.0	8.717798	0
56078.080615022	PV_Load R16	0.0	0.0	0.9830240405130142
56078.157970839	PV_Load R1	0.0	0.0	0.9894618630277225
56078.306396725	Load C18	7.2	3.487119	0
56078.396880597	Load C13	18.0	8.717798	0
56078.519387855	PV_Load C13	0.0	0.0	0
56078.603501114	PV_Load R17	0.0	0.0	0
56078.768059426	Load C20	7.2	3.487119	0
56078.800164745	Load C1	108.0	52.306787	0
56078.82261334	PV_Load I2	0.0	0.0	0
56078.825027697	PV_Load C14	0.0	0.0	0
56078.828062438	Load R16	52.25	17.173744	0.98302404041111
56078.846688524	PV_Load R15	0.0	0.0	0.9836623082757757
56078.86402313	PV_Load R11	0.0	0.0	0.9837136683738819
56078.878550751	Load C14	22.5	10.897247	0.9575232587072248
56078.887839978	PV_Load C17	0.0	0.0	0.9618894447490842
56078.900238434	Load C17	22.5	10.897247	0.9618894447490842
56078.903252117	Load R17	33.25	10.928746	0.9816919675863243
56078.910232854	Load C19	14.4	6.974238	0.9631817023023199
56078.913024493	PV_Load C1	0.0	0.0	0.9840433987928675
56078.91797844	Load R18	44.65	14.675745	0.9813565036822391
56078.919271876	PV_Load C18	0.0	0.0	0.9574549483317583
56078.919900975	PV_Load R18	0.0	0.0	0.9813565036822391
56078.920606385	PV_Load C19	0.0	0.0	0.9631817023023199
56078.921161513	PV_Load C12	0.0	0.0	0.9398092450957098
56078.92177646	PV_Load C20	0.0	0.0	0.963217773326857
56078.922747785	Load R15	49.4	16.236995	0.9836623082757757
56078.927332074	Load R1	190.0	62.44998	0.989461863027723
56078.987337543	Load R11	0.3602825745682888	0.14120135534536624	0.9787250120176978
56079.036687885	Load I2	4.9049851924975325	1.9223537468041718	0
56079.044254482	Load C12	0.2468614832788269	0.0967495473887564	0
56079.081197698	PV_Load R16	-0.0	-0.0	0.93650552215813
56079.170341112	PV_Load R1	-0.0	-0.0	0.9812450903105198
56079.315182149	Load C18	0.2431688417618271	0.09530233338560977	0
56079.400450404	Load C13	0.09927443867045788	0.03890747507901508	0
56079.52129149	PV_Load C13	-0.0	-0.0	0.9501513477531643
56079.742865674	Load C1	0.07841115180825718	0.030730769931862488	0.9791749788800816
56079.748129481	Load C20	0.17603249830737985	0.06899036784006785	0
56079.784364049	Load R16	0.07692794732176778	0.03014947486368557	0.9365055220248071
56079.799769397	PV_Load R15	-0.0	-0.0	0.9183740585342554
56079.850251378	Load C14	0.27733962110740706	0.10869448914719464	0.9575232587072248
56079.858119754	Load C17	0.1696367374914325	0.06648375175751463	0.9618894447490842
56079.918714655	Load C19	0.10018120631633444	0.03926285396664105	0.9431702610853937
56079.92497213	Load R17	0.1263712154453708	0.049527199362636616	0.941046065022105
56079.936684539	PV_Load C1	-0.0	-0.0	0.9833871966032722
56079.940116006	Load R18	1.1101134215500943	0.4350738303060631	0.9371103261727775
56079.941779909	PV_Load R18	-0.0	-0.0	0.9371103261727775
56079.944494027	PV_Load C20	-0.0	-0.0	0.9488934069418175
56079.947952214	PV_Load C12	-0.0	-0.0	0.9558834361234689
56079.948954456	PV_Load C19	-0.0	-0.0	0.9431702610853937
56079.952294601	Load R15	1.3666300768386388	0.5356074168632371	0.9262451334608244
56079.954367455	Load R1	0.7815269015382434	0.3062947406443273	0.9826502854410967
56080.017794859	Load R11	0.3602825745682888	0.14120135534536624	0.9781595061642107
56080.034126832	Load C12	0.2468614832788269	0.0967495473887564	0.9755157582486053
56080.036610805	Load I2	1.2179170779861794	0.47732406241401704	0.9778953231800436
56080.166730639	PV_Load R1	-0.0	-0.0	0.9896752461865761
56080.534977039	PV_Load C13	-0.0	-0.0	0.9755729692828387
56080.742929763	Load C1	0.07841115180825718	0.030730769931862488	0.9855883424505759
56080.78271851	PV_Load C14	-0.0	-0.0	0.9765501944710043
56080.786601692	Load R16	0.07692794732176778	0.03014947486368557	0.9838463256237732
56080.827888259	PV_Load R15	-0.0	-0.0	0.9836270290322638
56080.872475383	PV_Load R11	-0.0	-0.0	0.986912568860923
56080.880732713	Load R17	0.1263712154453708	0.049527199362636616	0.9823737774760384
56080.88621463	PV_Load C17	-0.0	-0.0	0.9746609714360956
56080.889959724	Load C14	0.3783234409301569	0.1482719020820571	0.9575232587072248
