# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        8.031       12.633
       0.100      567.900       28.121      363.719
       0.201      368.600       46.312      448.711
       0.301       99.700       60.121      487.734
       0.402       79.700       86.406      517.953
       0.502       99.700      118.512      588.980
       0.602       99.700      126.707      603.805
       0.703       99.700      136.066      636.711
       0.803       99.700      139.680      903.328
       0.903       99.700      140.348      904.012
       1.004       99.600      140.672      904.262
       1.104       99.600      140.926      904.512
       1.204      109.500      141.176      904.762
       1.305       99.700      141.176      904.762
       1.405       99.700      141.672      904.762
       1.505       99.700      141.672      904.762
       1.606       99.600      141.672      904.895
       1.706       99.700      141.902      905.031
       1.807       99.600      142.152      905.160
       1.907       89.600      142.609     3369.711
       2.007       49.700      142.863     5482.180
       2.108       89.400      143.699     6267.062
       2.209       99.500      145.074     7444.387
       2.309       79.600      145.832     8269.797
       2.409      109.400      147.547     9551.680
       2.510      109.300      148.695    10384.844
       2.611       79.500      149.910    11282.289
       2.711      109.300      151.988    12596.566
       2.812      109.200      153.789    13910.465
       2.913       69.300      155.059    14391.328
       3.014       49.400      156.660    14391.328
       3.115       88.800      159.051    14391.406
       3.217      128.200      162.477    14391.406
       3.318       69.200      164.895    14391.719
       3.419      108.800      168.426    14391.719
       3.520       69.100      170.484    14391.785
       3.622       88.900      172.934    14391.785
       3.723      118.500      176.691    14392.070
       3.824      118.700      180.023    14392.070
       3.925       89.200      180.809    14392.359
       4.026      109.000      180.887    14392.359
       4.127      118.900      181.121    14392.395
       4.228      109.200      181.371    14392.395
       4.328      109.100      181.637    14392.395
       4.429      109.100      182.191    14392.645
       4.530       99.300      182.441    14392.645
       4.631      109.100      182.836    14392.645
       4.732      118.900      183.176    14392.645
       4.833      119.100      183.809    14392.645
       4.934       69.300      184.164    14392.645
       5.035       49.500      184.566    14392.895
       5.136       69.200      184.797    14392.895
       5.237       59.400      185.223    14392.895
       5.338       49.400      185.383    14392.895
       5.439      108.700      185.539    14392.895
       5.540       69.200      185.629    14392.895
       5.642       59.300      185.652    14392.895
       5.743       79.200      185.684    14392.895
       5.844      118.700      185.758    14392.895
       5.945      109.200      185.785    14392.895
       6.046      109.000      185.789    14392.895
       6.146      109.200      185.789    14392.895
       6.247      119.100      185.805    14392.895
       6.348      119.100      185.809    14392.895
       6.449      109.200      185.840    14392.895
       6.549      119.000      185.844    14392.895
       6.650      109.000      185.844    14392.895
       6.751      119.000      185.855    14392.895
       6.852      119.000      185.871    14392.895
       6.953      109.100      186.133    14392.895
       7.054      119.000      186.160    14392.895
       7.154      109.200      186.430    14392.895
       7.255      109.100      186.719    14392.895
       7.356      119.100      186.730    14392.895
       7.457      119.000      187.266    14392.895
       7.558      118.900      187.270    14392.895
       7.659      109.200      187.543    14392.895
       7.759      119.100      187.805    14392.895
       7.860      119.000      191.086    14397.652
       7.961      128.900      194.398    14398.699
       8.062      148.700      196.102    14398.742
       8.163      119.000      195.789    14398.742
       8.264       89.100      195.812    14398.742
       8.365       49.400      195.824    14398.742
       8.466      108.500      195.836    14398.742
       8.567       98.800      195.840    14398.742
       8.668       49.500      195.848    14398.742
       8.769       89.100      195.859    14398.742
       8.870       99.000      195.891    14398.742
       8.971       49.500      195.895    14398.742
       9.073       49.400      195.906    14398.742
       9.174      108.600      195.918    14398.742
       9.275      109.000      195.938    14398.742
       9.376      109.100      195.949    14398.742
       9.477      119.200      196.215    14398.992
       9.577      119.100      196.230    14398.992
       9.678      109.200      196.242    14398.992
       9.779      109.100      196.246    14398.992
       9.880      119.000      196.258    14398.992
       9.981      109.100      196.266    14398.992
