# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        7.773       12.633
       0.100      587.800       27.812      363.719
       0.201      338.700       45.145      443.977
       0.301       89.700       58.934      485.254
       0.402       79.700       82.691      515.094
       0.502       99.600      116.695      587.824
       0.602       89.700      121.977      593.309
       0.703       99.700      130.547      627.602
       0.803       99.700      139.102      903.320
       0.903       99.700      139.547      904.000
       1.004       99.700      140.164      904.250
       1.104       99.700      140.418      904.500
       1.204       99.700      140.668      904.750
       1.305       79.700      141.402     5449.375
       1.405       79.600      142.156     6266.273
       1.506        0.000      142.312     6298.539
       1.606        0.000      142.312     6298.539
       1.707        0.000      142.312     6298.539
       1.808        0.000      142.312     6298.539
       1.908        0.000      142.312     6298.539
       2.009        0.000      142.312     6298.539
       2.110        0.000      142.312     6298.539
       2.211        0.000      142.312     6298.539
       2.312       99.200      144.875     6378.578
       2.412       79.300      147.074     6378.605
       2.513       79.500      147.391     6378.605
       2.614       19.900      147.391     6378.605
       2.714        0.000      147.391     6378.605
       2.815        0.000      147.391     6378.605
       2.916        0.000      147.391     6378.605
       3.016        0.000      147.391     6378.605
       3.117        0.000      147.391     6378.605
       3.217        0.000      147.391     6378.605
       3.318       69.500      147.660     6378.855
       3.419       69.400      147.902     6378.891
       3.520        0.000      147.914     6378.891
       3.620       89.500      147.914     6378.891
       3.721       99.600      147.914     6378.891
       3.821       89.600      155.188     6384.453
       3.921       19.900      156.328     6384.484
       4.022        0.000      156.328     6384.484
       4.123        0.000      156.328     6384.484
       4.223        0.000      156.328     6384.484
       4.324       59.600      156.621     6384.734
       4.424       49.600      156.770     6384.734
       4.525        0.000      156.773     6384.734
       4.626        0.000      156.773     6384.734
       4.727        0.000      156.773     6384.734
       4.828        0.000      156.773     6384.734
       4.929       89.600      157.328     6384.734
       5.029        0.000      157.328     6384.734
       5.130        0.000      157.328     6384.734
       5.230        9.900      157.336     6384.734
       5.331       39.700      157.340     6384.734
       5.431       59.700      157.340     6384.734
       5.532        0.000      157.340     6384.734
       5.632        0.000      157.340     6384.734
       5.733        0.000      157.340     6384.734
       5.834        0.000      157.340     6384.734
       5.934       10.000      157.340     6384.734
       6.035       69.700      157.340     6384.734
       6.135        0.000      157.340     6384.734
       6.236       10.000      157.344     6384.734
       6.336       39.800      157.344     6384.734
       6.437       49.800      157.355     6384.734
       6.537        0.000      157.355     6384.734
       6.637        0.000      157.355     6384.734
       6.738        0.000      157.355     6384.734
       6.838        0.000      157.355     6384.734
       6.939        0.000      157.355     6384.734
       7.040       19.900      157.355     6384.734
       7.140       59.700      157.355     6384.734
       7.241       10.000      157.355     6384.734
       7.341       39.800      157.359     6384.734
       7.442       49.700      157.363     6384.734
       7.542        0.000      157.363     6384.734
       7.643        0.000      157.363     6384.734
       7.743        0.000      157.363     6384.734
       7.844        0.000      157.363     6384.734
       7.945        0.000      157.363     6384.734
       8.046        0.000      157.363     6384.734
       8.147       49.700      157.363     6384.734
       8.248       49.800      157.367     6384.734
       8.348       49.700      157.367     6384.734
       8.449       39.600      157.367     6384.734
       8.550        0.000      157.367     6384.734
       8.651        0.000      157.367     6384.734
       8.751        0.000      157.367     6384.734
       8.852        0.000      157.367     6384.734
