timedelta,P,Q
53700,-884.0888671875,-88.40888671875
54000,-874.449157714844,-87.4449157714844
54300,-856.743225097656,-85.6743225097656
54600,-839.088439941406,-83.9088439941406
54900,-821.490783691406,-82.1490783691406
55200,-803.955932617188,-80.3955932617188
55500,-786.48974609375,-78.648974609375
55800,-769.097839355469,-76.9097839355469
56100,-751.785583496094,-75.1785583496094
56400,-734.558471679688,-73.4558471679688
56700,-717.421752929688,-71.7421752929688
57000,-700.380432128906,-70.0380432128906
57300,-683.439636230469,-68.3439636230469
57600,-653.397888183594,-65.3397888183594
57900,-636.881774902344,-63.6881774902344
58200,-620.419982910156,-62.0419982910156
58500,-604.016052246094,-60.4016052246094
58800,-587.673583984375,-58.7673583984375
59100,-571.396118164062,-57.1396118164062
59400,-555.187194824219,-55.5187194824219
59700,-539.050354003906,-53.9050354003906
60000,-522.989013671875,-52.2989013671875
60300,-507.006744384766,-50.7006744384766
60600,-491.106964111328,-49.1106964111328
60900,-475.293182373047,-47.5293182373047
61200,-459.568878173828,-45.9568878173828
61500,-443.164886474609,-44.3164886474609
61800,-426.857788085938,-42.6857788085938
62100,-410.651611328125,-41.0651611328125
62400,-394.550476074219,-39.4550476074219
62700,-378.558654785156,-37.8558654785156
63000,-362.680572509766,-36.2680572509766
63300,-346.920959472656,-34.6920959472656
63600,-331.28466796875,-33.128466796875
63900,-315.776916503906,-31.5776916503906
64200,-300.403198242188,-30.0403198242188
64500,-285.169403076172,-28.5169403076172
64800,-270.081726074219,-27.0081726074219
65100,-255.561676025391,-25.5561676025391
65400,-241.199935913086,-24.1199935913086
65700,-227.003646850586,-22.7003646850586
66000,-212.980529785156,-21.2980529785156
66300,-199.138885498047,-19.9138885498047
66600,-185.487670898438,-18.5487670898438
66900,-172.036331176758,-17.2036331176758
67200,-158.794738769531,-15.8794738769531
67500,-145.772872924805,-14.5772872924805
67800,-132.980270385742,-13.2980270385742
68100,-121.076026916504,-12.1076026916504
68400,-109.336631774902,-10.9336631774902
68700,-103.441246032715,-10.3441246032715
69000,-97.5391311645508,-9.75391311645508
69300,-91.6315383911133,-9.16315383911133
69600,-85.7199478149414,-8.57199478149414
69900,-79.8061370849609,-7.98061370849609
70200,-73.892219543457,-7.3892219543457
70500,-67.9807891845703,-6.79807891845703
70800,-62.0750007629395,-6.20750007629395
71100,-56.1787452697754,-5.61787452697754
71400,-50.296745300293,-5.0296745300293
71700,-44.4345626831055,-4.44345626831055
72000,-38.5983009338379,-3.85983009338379
72300,-35.5544586181641,-3.55544586181641
72600,-32.5059051513672,-3.25059051513672
72900,-29.4729709625244,-2.94729709625244
73200,-31.6739330291748,-3.16739330291748
73500,-28.615348815918,-2.8615348815918
73800,-25.549783706665,-2.5549783706665
74100,-22.4772911071777,-2.24772911071777
74400,-19.3979263305664,-1.93979263305664
74700,-16.31174659729,-1.631174659729
75000,-13.2188129425049,-1.32188129425049
75300,-10.1191873550415,-1.01191873550415
75600,-7.01293611526489,-0.701293611526489
75900,-6.43317127227783,-0.643317127227783
76200,-5.85251379013062,-0.585251379013062
76500,-5.27097702026367,-0.527097702026367
76800,-4.68857526779175,-0.468857526779175
77100,-4.10532236099243,-0.410532236099243
77400,-3.52123236656189,-0.352123236656189
77700,-2.93632125854492,-0.293632125854492
78000,-2.35060381889343,-0.235060381889343
78300,-1.76409649848938,-0.176409649848938
78600,-1.17681539058685,-0.117681539058685
78900,-0.588777422904968,-0.0588777422904968
79200,0,0
79500,0,0
79800,0,0
80100,0,0
80400,0,0
80700,0,0
81000,0,0
