timestamp,Load R1_P,Load R1_Q,Load R11_P,Load R11_Q,Load R15_P,Load R15_Q,Load R16_P,Load R16_Q,Load R17_P,Load R17_Q,Load R18_P,Load R18_Q,Load I2_P,Load I2_Q,Load C1_P,Load C1_Q,Load C12_P,Load C12_Q,Load C13_P,Load C13_Q,Load C14_P,Load C14_Q,Load C17_P,Load C17_Q,Load C18_P,Load C18_Q,Load C19_P,Load C19_Q,Load C20_P,Load C20_Q,PV_Load R1_P,PV_Load R1_Q,PV_Load R11_P,PV_Load R11_Q,PV_Load R15_P,PV_Load R15_Q,PV_Load R16_P,PV_Load R16_Q,PV_Load R17_P,PV_Load R17_Q,PV_Load R18_P,PV_Load R18_Q,PV_Load I2_P,PV_Load I2_Q,PV_Load C1_P,PV_Load C1_Q,PV_Load C12_P,PV_Load C12_Q,PV_Load C13_P,PV_Load C13_Q,PV_Load C14_P,PV_Load C14_Q,PV_Load C17_P,PV_Load C17_Q,PV_Load C18_P,PV_Load C18_Q,PV_Load C19_P,PV_Load C19_Q,PV_Load C20_P,PV_Load C20_Q
10,1.0080102076983057,0.3950577063004385,0.3602825745682888,0.14120135534536624,0.17453347969264543,0.06840287492470257,0.07692794732176778,0.03014947486368557,0.8767003071522598,0.3435949455782915,1.3823251417769378,0.5417586009558257,1.4230009871668312,0.5577002115256783,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.06270391517128873,0.024574815527106917,0.4571058762619726,0.17914818484313894,0.9952606635071091,0.39006092586499896,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
11,0.9831289430779044,0.38530628190441496,0.3602825745682888,0.14120135534536624,0.17453347969264543,0.06840287492470257,0.07692794732176778,0.03014947486368557,0.8767003071522598,0.3435949455782915,1.6885633270321363,0.6617789679368087,1.779861796643633,0.6975605143120348,0.253156004409516,0.09921648578001319,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.06270391517128873,0.024574815527106917,0.10018120631633444,0.039262853966641045,1.1645226811103588,0.45639781801891033,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,0.15630538030764868,0.06125894812886547,0.3602825745682888,0.14120135534536624,0.17453347969264543,0.06840287492470257,0.07692794732176778,0.03014947486368557,0.8767003071522598,0.3435949455782915,2.0628544423440456,0.8084705275802323,1.9990128331688057,0.7834498288862287,0.5357561964368266,0.20997268924872578,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.06270391517128873,0.024574815527106917,0.10018120631633444,0.039262853966641045,1.053486797562627,0.41288081676594446,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
13,0.15630538030764868,0.06125894812886547,0.3602825745682888,0.14120135534536624,0.17453347969264543,0.06840287492470257,0.07692794732176778,0.03014947486368557,0.1263712154453708,0.04952719936263662,2.2329867674858224,0.8751485092363339,2.1100691016781834,0.8269748193799079,0.6464919455211408,0.253372062295356,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.06270391517128873,0.024574815527106917,0.10018120631633444,0.039262853966641045,1.2220717670954637,0.4789523613512402,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
14,0.15630538030764868,0.06125894812886547,0.3602825745682888,0.14120135534536624,0.17453347969264543,0.06840287492470257,0.07692794732176778,0.03014947486368557,0.1263712154453708,0.04952719936263662,2.420132325141777,0.9484942890580456,2.135241855873643,0.8368404838918088,0.6464919455211408,0.253372062295356,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.2070758564437194,0.0811568298139092,0.10018120631633444,0.039262853966641045,1.2220717670954637,0.4789523613512402,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
15,0.15630538030764868,0.06125894812886547,0.3602825745682888,0.14120135534536624,0.17453347969264543,0.06840287492470257,0.07692794732176778,0.03014947486368557,0.1263712154453708,0.04952719936263662,2.4711720226843097,0.968497683554876,1.6288252714708786,0.6383665272406308,0.5882436613207211,0.2305434903459725,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.24316884176182707,0.09530233338560977,0.10018120631633444,0.039262853966641045,1.2220717670954637,0.4789523613512402,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16,0.15630538030764868,0.06125894812886547,0.3602825745682888,0.14120135534536624,0.17453347969264543,0.06840287492470257,0.07692794732176778,0.03014947486368557,0.4083369899078544,0.16003476294051958,2.9466918714555765,1.15486264228368,1.7472852912142152,0.6847931837672221,0.1891469008925714,0.0741301429784928,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.24316884176182707,0.09530233338560977,0.10018120631633444,0.039262853966641045,1.3473256601218686,0.5280416615451345,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
17,0.15630538030764868,0.06125894812886547,0.3602825745682888,0.14120135534536624,0.17453347969264543,0.06840287492470257,0.07692794732176778,0.03014947486368557,0.5963141728828434,0.23370647199244152,3.4179584120982986,1.3395606514710816,1.7769002961500495,0.69639984789887,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.2070758564437194,0.0811568298139092,0.10018120631633444,0.039262853966641045,1.3744075829383888,0.5386555642897605,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
18,0.15630538030764868,0.06125894812886547,0.3602825745682888,0.14120135534536624,0.17453347969264543,0.06840287492470257,0.07692794732176778,0.03014947486368557,0.5963141728828434,0.23370647199244152,3.7173913043478266,1.4569138991858208,1.8065153010858832,0.7080065120305177,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.06270391517128873,0.024574815527106917,0.10018120631633444,0.039262853966641045,0.17603249830737985,0.06899036784006785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
19,0.7304884100092153,0.2862918188063304,0.3602825745682888,0.14120135534536624,0.17453347969264543,0.06840287492470257,0.07692794732176778,0.03014947486368557,0.5963141728828434,0.23370647199244152,3.7173913043478266,1.4569138991858208,1.8065153010858832,0.7080065120305177,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.411658005686832,0.16133632999431585,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.06270391517128873,0.024574815527106917,0.10018120631633444,0.039262853966641045,0.17603249830737985,0.06899036784006785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
