timestamp,load_1_p,load_1_q,pv_1_p,pv_1_q,load_2_p,load_2_q,pv_2_p,pv_2_q,load_3_p,load_3_q,pv_3_p,pv_3_q,load_4_p,load_4_q,pv_4_p,pv_4_q,load_5_p,load_5_q,pv_5_p,pv_5_q
0,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.2720087815587267,0.10660523526000817,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
1,0.3936343659176295,0.154272534675551,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,1.9396267837541163,0.7601753458613173,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
2,0.7049691642447012,0.276290357887332,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,1.0241492864983535,0.4013829075770283,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
3,0.7815269015382434,0.3062947406443273,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,1.3666300768386388,0.5356074168632371,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
4,0.7815269015382434,0.3062947406443273,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,1.4166849615806807,0.5552248451435292,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
5,0.7815269015382434,0.3062947406443273,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,1.129527991218441,0.4426827565881694,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
6,0.8325653930672716,0.3262976624823242,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,1.2612513721185508,0.49430756785209584,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
7,0.7859927695470333,0.30804499630515203,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,1.2763995609220635,0.5002444211474475,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
8,1.0080102076983057,0.3950577063004385,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,2.345993413830955,0.9194378886105303,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.42650285212812644,0.1671542978488986,-0.0,-0.0
9,1.0462890763450767,0.41005989767893614,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,1.6136114160263446,0.6324039379830992,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.8767003071522598,0.3435949455782915,-0.0,-0.0
